ID,size,sizeNext,surv,fec
767,26.3,26.4,1,300.4
C15,26.9,26.9,1,365
J09,NA,27.3,NA,NA
H04,30.2,30.3,1,0
T19,25.7,26,1,0
H18,28.5,28.5,1,0
J12,26.4,26.5,1,0
J14,32.2,32.2,1,0
J15,30.6,30.6,1,0
J16,26.7,26.7,1,0
J17,30.6,30.8,1,0
H20,29,NA,0,NA
P15,27.6,27.8,1,0
X05,31.1,31.2,1,0
X06,27.7,27.9,1,0
Z10,26.3,26.3,1,390
T20,26.3,26.5,1,289.4
A19,27.2,27.2,1,380
A13,29.5,29.5,1,455.4
Z01,30.6,NA,0,NA
C02,32.4,32.4,1,725
L11,27.7,27.9,1,453.5
L12,28.1,28.1,1,572.7
D06,27.3,27.4,1,540.9
D07,32.5,32.8,1,588.4
C08,32.8,NA,0,NA
C07,32.7,32.9,1,624
K15,29.7,30.3,1,548.9
E19,27.4,27.6,1,415.4
N20,27.9,28.3,1,598.5
C05,34.5,NA,0,NA
777,27.6,27.9,1,401.9
X03,29.5,29.6,1,508.5
K12,30.5,30.7,1,570
N04,27.5,27.7,1,504.2
N06,25.7,25.9,1,300
N07,30.4,30.6,1,710
E11,29,29,1,430
K07,29.55,29.7,1,496.5
D08,NA,30.5,NA,NA
L03,25.3,25.7,1,363.5
L04,28.5,28.7,1,505
Z14,30.4,30.4,1,555.3
K01,30.5,30.6,1,425
N15,29.1,29.2,1,485.1
H03,27.9,28.2,1,505
D14,27.3,NA,0,NA
S01,24.9,25.2,1,345
S02,30.2,30.45,1,435.8
S03,27.2,27.3,1,405
793,29.6,29.85,1,549.8
S06,26.9,27.1,1,338.8
S08,29.2,29.4,1,487.9
D17,25.2,25.7,1,348.9
S07,28.85,29.5,1,511.1
D19,27.7,NA,0,NA
Q10,27,27.2,1,384.1
S05,29.2,29.6,1,400
N14,30.9,31.1,1,517.3
J02A,NA,26.5,NA,NA
J04,26.6,26.7,1,384.3
J05,NA,26.8,NA,NA
M17,28.4,28.5,1,352.2
Q09,27.4,28,1,0
Q07,30.6,30.6,1,603.7
Q13,NA,31.2,NA,NA
Q18,26.2,27.1,1,291.6
K20,27.9,27.9,1,749.2
M15,29,29.1,1,633.5
M16,27.3,27.4,1,467.8
